"","name","date","country"
"1","New Year's Day",2021-01-01,"AT"
"2","Epiphany",2021-01-06,"AT"
"3","March Equinox",2021-03-20,"AT"
"4","Easter",2021-04-04,"AT"
"5","Easter Monday",2021-04-05,"AT"
"6","Labor Day",2021-05-01,"AT"
"7","Mother's Day",2021-05-09,"AT"
"8","Feast of the Ascension of Jesus Christ",2021-05-13,"AT"
"9","Pentecost Monday",2021-05-24,"AT"
"10","Feast of Corpus Christi",2021-06-03,"AT"
"11","Father's Day",2021-06-20,"AT"
"12","June Solstice",2021-06-21,"AT"
"13","Assumption of Mary",2021-08-15,"AT"
"14","September Equinox",2021-09-22,"AT"
"15","National Day",2021-10-26,"AT"
"16","All Saints' Day",2021-11-01,"AT"
"17","Feast of the Immaculate Conception",2021-12-08,"AT"
"18","December Solstice",2021-12-21,"AT"
"19","Christmas Eve",2021-12-24,"AT"
"20","Christmas Day",2021-12-25,"AT"
"21","Saint Stephen's Day",2021-12-26,"AT"
"22","New Year's Eve",2021-12-31,"AT"
"23","New Year's Day",2021-01-01,"BE"
"24","Epiphany",2021-01-06,"BE"
"25","Valentine's Day",2021-02-14,"BE"
"26","Shrove Tuesday",2021-02-16,"BE"
"27","March Equinox",2021-03-20,"BE"
"28","Good Friday",2021-04-02,"BE"
"29","Easter",2021-04-04,"BE"
"30","Easter Monday",2021-04-05,"BE"
"31","Labor Day",2021-05-01,"BE"
"32","Mother's Day",2021-05-09,"BE"
"33","Feast of the Ascension of Jesus Christ",2021-05-13,"BE"
"34","Pentecost",2021-05-23,"BE"
"35","Pentecost Monday",2021-05-24,"BE"
"36","Father's Day",2021-06-13,"BE"
"37","June Solstice",2021-06-21,"BE"
"38","Day of the Flemish Community",2021-07-11,"BE"
"39","Belgian National Day",2021-07-21,"BE"
"40","Assumption of Mary",2021-08-15,"BE"
"41","Day of the Walloon Region",2021-09-19,"BE"
"42","September Equinox",2021-09-22,"BE"
"43","French Community Holiday",2021-09-27,"BE"
"44","Halloween",2021-10-31,"BE"
"45","All Saints' Day",2021-11-01,"BE"
"46","All Souls' Day",2021-11-02,"BE"
"47","Armistice Day",2021-11-11,"BE"
"48","Day of the German-speaking Community",2021-11-15,"BE"
"49","King's Feast",2021-11-15,"BE"
"50","Saint Nicholas' Day",2021-12-06,"BE"
"51","December Solstice",2021-12-21,"BE"
"52","Christmas Eve",2021-12-24,"BE"
"53","Christmas Day",2021-12-25,"BE"
"54","New Year's Eve",2021-12-31,"BE"
"55","New Year's Day",2021-01-01,"CZ"
"56","March Equinox",2021-03-20,"CZ"
"57","Good Friday",2021-04-02,"CZ"
"58","Easter Monday",2021-04-05,"CZ"
"59","Labor Day",2021-05-01,"CZ"
"60","Liberation Day",2021-05-08,"CZ"
"61","Mother's Day",2021-05-09,"CZ"
"62","Father's Day",2021-06-20,"CZ"
"63","June Solstice",2021-06-21,"CZ"
"64","Saints Cyril and Methodius Day",2021-07-05,"CZ"
"65","Jan Hus Day",2021-07-06,"CZ"
"66","September Equinox",2021-09-22,"CZ"
"67","Saint Wenceslas' Day",2021-09-28,"CZ"
"68","Foundation of the Independent Czechoslovak State",2021-10-28,"CZ"
"69","Struggle for Freedom and Democracy Day",2021-11-17,"CZ"
"70","December Solstice",2021-12-21,"CZ"
"71","Christmas Eve",2021-12-24,"CZ"
"72","Christmas Day",2021-12-25,"CZ"
"73","Saint Stephen's Day",2021-12-26,"CZ"
"74","New Year's Eve",2021-12-31,"CZ"
"75","New Year's Day",2021-01-01,"DE"
"76","March Equinox",2021-03-20,"DE"
"77","Good Friday",2021-04-02,"DE"
"78","Easter Monday",2021-04-05,"DE"
"79","Labor Day",2021-05-01,"DE"
"80","Mother's Day",2021-05-09,"DE"
"81","Father's Day",2021-05-13,"DE"
"82","Feast of the Ascension of Jesus Christ",2021-05-13,"DE"
"83","Pentecost Monday",2021-05-24,"DE"
"84","June Solstice",2021-06-21,"DE"
"85","September Equinox",2021-09-22,"DE"
"86","Germany Unity Day",2021-10-03,"DE"
"87","December Solstice",2021-12-21,"DE"
"88","Christmas Eve",2021-12-24,"DE"
"89","First Day of Christmastide",2021-12-25,"DE"
"90","Second Day of Christmastide",2021-12-26,"DE"
"91","New Year's Eve",2021-12-31,"DE"
"92","New Year's Day",2021-01-01,"DK"
"93","Fastelavn",2021-02-14,"DK"
"94","March Equinox",2021-03-20,"DK"
"95","Palm Sunday",2021-03-28,"DK"
"96","Maundy Thursday",2021-04-01,"DK"
"97","Good Friday",2021-04-02,"DK"
"98","Easter",2021-04-04,"DK"
"99","Easter Monday",2021-04-05,"DK"
"100","General Prayer Day",2021-04-30,"DK"
"101","International Workers' Day",2021-05-01,"DK"
"102","Liberation Day",2021-05-05,"DK"
"103","Mother's Day",2021-05-09,"DK"
"104","Feast of the Ascension of Jesus Christ",2021-05-13,"DK"
"105","Pentecost",2021-05-23,"DK"
"106","Pentecost Monday",2021-05-24,"DK"
"107","Constitution Day",2021-06-05,"DK"
"108","Father's Day",2021-06-05,"DK"
"109","June Solstice",2021-06-21,"DK"
"110","September Equinox",2021-09-22,"DK"
"111","Halloween",2021-10-31,"DK"
"112","December Solstice",2021-12-21,"DK"
"113","Christmas Eve",2021-12-24,"DK"
"114","Christmas Day",2021-12-25,"DK"
"115","Day after Christmas",2021-12-26,"DK"
"116","New Year's Eve",2021-12-31,"DK"
"117","New Year's Day",2021-01-01,"ES"
"118","Epiphany",2021-01-06,"ES"
"119","Valentine's Day",2021-02-14,"ES"
"120","Ash Wednesday",2021-02-17,"ES"
"121","Father's Day",2021-03-19,"ES"
"122","March Equinox",2021-03-20,"ES"
"123","Palm Sunday",2021-03-28,"ES"
"124","Start of Daylight Saving Time",2021-03-28,"ES"
"125","Maundy Thursday",2021-04-01,"ES"
"126","Good Friday",2021-04-02,"ES"
"127","Easter",2021-04-04,"ES"
"128","Labor Day",2021-05-01,"ES"
"129","Mother's Day",2021-05-02,"ES"
"130","Pentecost",2021-05-23,"ES"
"131","Pentecost Monday",2021-05-24,"ES"
"132","June Solstice",2021-06-21,"ES"
"133","Assumption of Mary",2021-08-15,"ES"
"134","September Equinox",2021-09-22,"ES"
"135","Hispanic Heritage Day",2021-10-12,"ES"
"136","End of Daylight Saving Time",2021-10-31,"ES"
"137","All Saints' Day",2021-11-01,"ES"
"138","Day of the Constitution",2021-12-06,"ES"
"139","Feast of the Immaculate Conception",2021-12-08,"ES"
"140","December Solstice",2021-12-21,"ES"
"141","Christmas Eve",2021-12-24,"ES"
"142","Christmas Day",2021-12-25,"ES"
"143","New Year's Eve",2021-12-31,"ES"
"144","New Year's Day",2021-01-01,"NL"
"145","March Equinox",2021-03-20,"NL"
"146","Good Friday",2021-04-02,"NL"
"147","Easter",2021-04-04,"NL"
"148","Easter Monday",2021-04-05,"NL"
"149","Royal Day",2021-04-27,"NL"
"150","Commemoration of the Dead",2021-05-04,"NL"
"151","Liberation Day",2021-05-05,"NL"
"152","Mother's Day",2021-05-09,"NL"
"153","Feast of the Ascension of Jesus Christ",2021-05-13,"NL"
"154","Pentecost",2021-05-23,"NL"
"155","Pentecost Monday",2021-05-24,"NL"
"156","Father's Day",2021-06-20,"NL"
"157","June Solstice",2021-06-21,"NL"
"158","September Equinox",2021-09-22,"NL"
"159","Saint Nicholas' Eve",2021-12-05,"NL"
"160","Saint Nicholas' Day",2021-12-06,"NL"
"161","December Solstice",2021-12-21,"NL"
"162","Christmas Eve",2021-12-24,"NL"
"163","Christmas Day",2021-12-25,"NL"
"164","Boxing Day",2021-12-26,"NL"
"165","New Year's Eve",2021-12-31,"NL"
"166","New Year's Day",2021-01-01,"FR"
"167","March Equinox",2021-03-20,"FR"
"168","Easter",2021-04-04,"FR"
"169","Easter Monday",2021-04-05,"FR"
"170","Labor Day",2021-05-01,"FR"
"171","Victory in Europe Day",2021-05-08,"FR"
"172","Feast of the Ascension of Jesus Christ",2021-05-13,"FR"
"173","Pentecost",2021-05-23,"FR"
"174","Pentecost Monday",2021-05-24,"FR"
"175","Mother's Day",2021-05-30,"FR"
"176","Father's Day",2021-06-20,"FR"
"177","June Solstice",2021-06-21,"FR"
"178","Bastille Day",2021-07-14,"FR"
"179","Assumption of Mary",2021-08-15,"FR"
"180","September Equinox",2021-09-22,"FR"
"181","All Saints' Day",2021-11-01,"FR"
"182","Armistice Day",2021-11-11,"FR"
"183","December Solstice",2021-12-21,"FR"
"184","Christmas Eve",2021-12-24,"FR"
"185","Christmas Day",2021-12-25,"FR"
"186","New Year's Eve",2021-12-31,"FR"
"187","New Year's Day",2021-01-01,"GB"
"188","Valentine's Day",2021-02-14,"GB"
"189","Mother's Day",2021-03-14,"GB"
"190","March Equinox",2021-03-20,"GB"
"191","Good Friday",2021-04-02,"GB"
"192","Easter",2021-04-04,"GB"
"193","Early May Bank Holiday",2021-05-03,"GB"
"194","Spring Bank Holiday",2021-05-31,"GB"
"195","Father's Day",2021-06-20,"GB"
"196","June Solstice",2021-06-21,"GB"
"197","September Equinox",2021-09-22,"GB"
"198","December Solstice",2021-12-21,"GB"
"199","Christmas Eve",2021-12-24,"GB"
"200","Christmas Day",2021-12-25,"GB"
"201","Boxing Day",2021-12-26,"GB"
"202","New Year's Eve",2021-12-31,"GB"
"203","New Year's Day",2021-01-01,"IE"
"204","Mother's Day",2021-03-14,"IE"
"205","Saint Patrick's Day",2021-03-17,"IE"
"206","March Equinox",2021-03-20,"IE"
"207","Good Friday",2021-04-02,"IE"
"208","Easter",2021-04-04,"IE"
"209","Easter Monday",2021-04-05,"IE"
"210","May Bank Holiday",2021-05-03,"IE"
"211","June Bank Holiday",2021-06-07,"IE"
"212","Father's Day",2021-06-20,"IE"
"213","June Solstice",2021-06-21,"IE"
"214","August Bank Holiday",2021-08-02,"IE"
"215","September Equinox",2021-09-22,"IE"
"216","October Bank Holiday",2021-10-25,"IE"
"217","December Solstice",2021-12-21,"IE"
"218","Christmas Eve",2021-12-24,"IE"
"219","Saint Stephen's Day",2021-12-26,"IE"
"220","Christmas Day",2021-12-25,"IE"
"221","New Year's Eve",2021-12-31,"IE"
"222","New Year's Day",2021-01-01,"NO"
"223","Princess Ingrid Alexandra's Day",2021-01-21,"NO"
"224","The Saami People's Day",2021-02-06,"NO"
"225","Carnival",2021-02-14,"NO"
"226","Mother's Day",2021-02-14,"NO"
"227","Valentine's Day",2021-02-14,"NO"
"228","King Harald V's Day",2021-02-21,"NO"
"229","March Equinox",2021-03-20,"NO"
"230","Palm Sunday",2021-03-28,"NO"
"231","Start of Daylight Saving Time",2021-03-28,"NO"
"232","Maundy Thursday",2021-04-01,"NO"
"233","Good Friday",2021-04-02,"NO"
"234","Easter",2021-04-04,"NO"
"235","Easter Monday",2021-04-05,"NO"
"236","Labor Day",2021-05-01,"NO"
"237","Day of Liberation",2021-05-08,"NO"
"238","Feast of the Ascension of Jesus Christ",2021-05-13,"NO"
"239","Constitution Day",2021-05-17,"NO"
"240","Pentecost Eve",2021-05-22,"NO"
"241","Pentecost",2021-05-23,"NO"
"242","Pentecost Monday",2021-05-24,"NO"
"243","Dissolution of the Union Between Norway and Sweden",2021-06-07,"NO"
"244","June Solstice",2021-06-21,"NO"
"245","Midsummer Eve",2021-06-23,"NO"
"246","Saint John's Day",2021-06-24,"NO"
"247","Queen Sonja's Day",2021-07-04,"NO"
"248","Crown Prince Haakon's Day",2021-07-20,"NO"
"249","Saint Olaf's Day",2021-07-29,"NO"
"250","Crown Princess Mette-Marit's Day",2021-08-19,"NO"
"251","September Equinox",2021-09-22,"NO"
"252","United Nation's Day",2021-10-24,"NO"
"253","Repentance Day",2021-10-25,"NO"
"254","End of Daylight Saving Time",2021-10-31,"NO"
"255","Halloween",2021-10-31,"NO"
"256","All Saints' Day",2021-11-01,"NO"
"257","Father's Day",2021-11-14,"NO"
"258","First Sunday of Advent",2021-11-28,"NO"
"259","Second Sunday of Advent",2021-12-05,"NO"
"260","Third Sunday of Advent",2021-12-12,"NO"
"261","Fourth Sunday of Advent",2021-12-19,"NO"
"262","December Solstice",2021-12-21,"NO"
"263","Christmas Eve",2021-12-24,"NO"
"264","Christmas Day",2021-12-25,"NO"
"265","Boxing Day",2021-12-26,"NO"
"266","New Year's Eve",2021-12-31,"NO"
"267","New Year's Day",2021-01-01,"GR"
"268","Epiphany",2021-01-06,"GR"
"269","The Three Holy Hierarchs",2021-01-30,"GR"
"270","Valentine's Day",2021-02-14,"GR"
"271","Orthodox Clean Monday",2021-03-15,"GR"
"272","March Equinox",2021-03-20,"GR"
"273","Annunciation of the Lord",2021-03-25,"GR"
"274","Independence Day",2021-03-25,"GR"
"275","Orthodox Good Friday",2021-04-30,"GR"
"276","Labor Day",2021-05-01,"GR"
"277","Orthodox Easter",2021-05-02,"GR"
"278","Orthodox Easter Monday",2021-05-03,"GR"
"279","Mother's Day",2021-05-09,"GR"
"280","Father's Day",2021-06-20,"GR"
"281","Orthodox Pentecost",2021-06-20,"GR"
"282","June Solstice",2021-06-21,"GR"
"283","Orthodox Pentecost Monday",2021-06-21,"GR"
"284","The Restoration of Democracy",2021-07-24,"GR"
"285","Dormition of the Holy Virgin",2021-08-15,"GR"
"286","September Equinox",2021-09-22,"GR"
"287","The Ochi Day",2021-10-28,"GR"
"288","Polytechneio",2021-11-17,"GR"
"289","Armed Forces Day",2021-11-21,"GR"
"290","December Solstice",2021-12-21,"GR"
"291","Christmas Eve",2021-12-24,"GR"
"292","Christmas Day",2021-12-25,"GR"
"293","Synaxis of the Mother of God",2021-12-26,"GR"
"294","New Year's Eve",2021-12-31,"GR"
"295","New Year's Day",2021-01-01,"LV"
"296","March Equinox",2021-03-20,"LV"
"297","Good Friday",2021-04-02,"LV"
"298","Easter",2021-04-04,"LV"
"299","Easter Monday",2021-04-05,"LV"
"300","Labor Day",2021-05-01,"LV"
"301","Restoration of Independence Day",2021-05-04,"LV"
"302","Mother's Day",2021-05-09,"LV"
"303","June Solstice",2021-06-21,"LV"
"304","Midsummer's Eve",2021-06-23,"LV"
"305","Midsummer's Day",2021-06-24,"LV"
"306","Father's Day",2021-09-12,"LV"
"307","September Equinox",2021-09-22,"LV"
"308","Proclamation Day of the Republic of Latvia",2021-11-18,"LV"
"309","December Solstice",2021-12-21,"LV"
"310","Christmas Eve",2021-12-24,"LV"
"311","Christmas Day",2021-12-25,"LV"
"312","Day after Christmas",2021-12-26,"LV"
"313","New Year's Eve",2021-12-31,"LV"
"314","New Year's Day",2021-01-01,"PT"
"315","Solemnity of Mary, Mother of God",2021-01-01,"PT"
"316","Shrove Tuesday",2021-02-16,"PT"
"317","Father's Day",2021-03-19,"PT"
"318","March Equinox",2021-03-20,"PT"
"319","Good Friday",2021-04-02,"PT"
"320","Easter",2021-04-04,"PT"
"321","Freedom Day",2021-04-25,"PT"
"322","Labor Day",2021-05-01,"PT"
"323","Mother's Day",2021-05-02,"PT"
"324","Feast of Corpus Christi",2021-06-03,"PT"
"325","Portugal Day",2021-06-10,"PT"
"326","June Solstice",2021-06-21,"PT"
"327","Assumption of Mary",2021-08-15,"PT"
"328","September Equinox",2021-09-22,"PT"
"329","Republic Implantation",2021-10-05,"PT"
"330","All Saints' Day",2021-11-01,"PT"
"331","Restoration of Independence",2021-12-01,"PT"
"332","Feast of the Immaculate Conception",2021-12-08,"PT"
"333","December Solstice",2021-12-21,"PT"
"334","Christmas Eve",2021-12-24,"PT"
"335","Christmas Day",2021-12-25,"PT"
"336","New Year's Eve",2021-12-31,"PT"
"337","New Year's Day",2021-01-01,"SE"
"338","Twelfth Night",2021-01-05,"SE"
"339","Epiphany",2021-01-06,"SE"
"340","March Equinox",2021-03-20,"SE"
"341","Good Friday",2021-04-02,"SE"
"342","Holy Saturday",2021-04-03,"SE"
"343","Easter",2021-04-04,"SE"
"344","Easter Monday",2021-04-05,"SE"
"345","Walpurgis Night",2021-04-30,"SE"
"346","May 1st",2021-05-01,"SE"
"347","Feast of the Ascension of Jesus Christ",2021-05-13,"SE"
"348","Pentecost Eve",2021-05-22,"SE"
"349","Pentecost",2021-05-23,"SE"
"350","Mother's Day",2021-05-30,"SE"
"351","National Day",2021-06-06,"SE"
"352","June Solstice",2021-06-21,"SE"
"353","Midsummer Eve",2021-06-25,"SE"
"354","Midsummer Day",2021-06-26,"SE"
"355","September Equinox",2021-09-22,"SE"
"356","All Saints' Eve",2021-11-05,"SE"
"357","All Saints' Day",2021-11-06,"SE"
"358","Father's Day",2021-11-14,"SE"
"359","December Solstice",2021-12-21,"SE"
"360","Christmas Eve",2021-12-24,"SE"
"361","Christmas Day",2021-12-25,"SE"
"362","Boxing Day",2021-12-26,"SE"
"363","New Year's Eve",2021-12-31,"SE"
